id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
21	point-queue	2	1	2.5	30	100	1
12	point-queue	1	2	2.5	30	100	1
31	point-queue	3	1	2.5	30	100	1
13	point-queue	1	3	2.5	30	100	1
41	point-queue	4	1	2.5	30	100	1
14	point-queue	1	4	2.5	30	100	1
51	point-queue	5	1	2.5	30	100	1
15	point-queue	1	5	2.5	30	100	1
90011	1000	9001	1	1	60	30	1
119001	2000	1	9001	1	60	30	1
90022	1000	9002	2	1	60	30	1
219002	2000	2	9002	1	60	30	1
90033	1000	9003	3	1	60	30	1
319003	2000	3	9003	1	60	30	1
90044	1000	9004	4	1	60	30	1
419004	2000	4	9004	1	60	30	1
90055	1000	9005	5	1	60	30	1
519005	2000	5	9005	1	60	30	1
