id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
12	point-queue	1	2	2.5	30	100	1
23	point-queue	2	3	2.5	30	100	1
24	point-queue	2	4	2.5	30	100	1
34	point-queue	3	4	2.5	30	100	1
35	point-queue	3	5	2.5	30	100	1
45	point-queue	4	5	2.5	30	100	1
56	point-queue	5	6	2.5	30	100	1
67	point-queue	6	7	2.5	30	100	1
90011	1000	9001	1	1	60	30	1
119001	2000	1	9001	1	60	30	1
90022	1000	9002	2	1	60	30	1
219002	2000	2	9002	1	60	30	1
90033	1000	9003	3	1	60	30	1
319003	2000	3	9003	1	60	30	1
90044	1000	9004	4	1	60	30	1
419004	2000	4	9004	1	60	30	1
90055	1000	9005	5	1	60	30	1
519005	2000	5	9005	1	60	30	1
90066	1000	9006	6	1	60	30	1
619006	2000	6	9006	1	60	30	1
90077	1000	9007	7	1	60	30	1
719007	2000	7	9007	1	60	30	1
