src	dest	turning proportions
903666908	903666908	0.0
903666908	9909909	0.0
903666908	911666516	0.0
903666908	908666912	0.25
903666908	517666518	0.0
903666908	905777904	0.0
903666908	9519519	0.0
903666908	9099909	0.0
903666908	5009500	0.0
903666908	900777901	0.0
903666908	9109910	0.0
903666908	900777902	0.0
903666908	911777912	0.0
903666908	911777913	0.0
903666908	5019501	0.0
903666908	5169516	0.0
903666908	906777903	0.0
903666908	9518518	0.0
903666908	900666500	0.0
903666908	901777900	0.0
903666908	9119911	0.0
903666908	913666906	0.0
903666908	5179517	0.0
903666908	9129912	0.0
903666908	9908908	0.0
903666908	903666912	0.0
903666908	908666903	0.0
903666908	904777903	0.0
903666908	9139913	0.0
903666908	9906906	0.0
903666908	9907907	0.0
903666908	902666904	0.0
903666908	902666907	0.0
903666908	904777905	0.0
903666908	9517517	0.0
903666908	516666519	0.0
903666908	9009900	0.0
903666908	909666910	0.0
903666908	9905905	0.0
903666908	909666911	0.0
903666908	907777910	0.0
903666908	907777908	0.0
903666908	912666903	0.0
903666908	9019901	0.0
903666908	9516516	0.0
903666908	910777907	0.0
903666908	912666908	0.0
903666908	901666501	0.0
903666908	913777911	0.0
903666908	9029902	0.0
903666908	9903903	0.0
903666908	911666909	0.0
903666908	906666905	0.0
903666908	9039903	0.0
903666908	908777907	0.25
903666908	908777909	0.25
903666908	9904904	0.0
903666908	913666517	0.0
903666908	905666906	0.0
903666908	9902902	0.0
903666908	906666913	0.0
903666908	903777906	0.0
903666908	9501501	0.0
903666908	519666516	0.0
903666908	903777904	0.0
903666908	9913913	0.0
903666908	905666901	0.0
903666908	900666910	0.0
903666908	501666901	0.0
903666908	9049904	0.0
903666908	517666913	0.0
903666908	5189518	0.0
903666908	907666904	0.0
903666908	500666900	0.0
903666908	9500500	0.0
903666908	9912912	0.0
903666908	9059905	0.0
903666908	909777908	0.0
903666908	907666902	0.0
903666908	912777911	0.0
903666908	5199519	0.0
903666908	910666900	0.0
903666908	516666911	0.0
903666908	9069906	0.0
903666908	910666909	0.0
903666908	9901901	0.0
903666908	902777900	0.0
903666908	901666905	0.0
903666908	9910910	0.0
903666908	9079907	0.0
903666908	9911911	0.0
903666908	9900900	0.0
903666908	904666907	0.0
903666908	904666902	0.0
903666908	9089908	0.25
903666908	518666517	0.0
9909909	903666908	0.0
9909909	9909909	0.0
9909909	911666516	0.0
9909909	908666912	0.0
9909909	517666518	0.0
9909909	905777904	0.0
9909909	9519519	0.0
9909909	9099909	0.0
9909909	5009500	0.0
9909909	900777901	0.0
9909909	9109910	0.0
9909909	900777902	0.0
9909909	911777912	0.0
9909909	911777913	0.0
9909909	5019501	0.0
9909909	5169516	0.0
9909909	906777903	0.0
