id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
903666908	sidewalk	903	908	0.7928932188134532	0.0	0	0.0
9909909	entry	9909	909	0.0	0.0	2147483647	1.0
911666516	sidewalk	911	516	0.896446609406726	0.0	0	0.0
908666912	sidewalk	908	912	0.5606601717798216	0.0	0	0.0
12	point-queue	1	2	2.5	30.0	100	1.0
517666518	sidewalk	517	518	1.0	0.0	0	0.0
905777904	crosswalk	905	904	0.6123724356957945	0.0	0	1.0
9519519	entry	9519	519	0.0	0.0	2147483647	1.0
23	point-queue	2	3	2.5	30.0	100	1.0
24	point-queue	2	4	2.5	30.0	100	1.0
900777901	crosswalk	900	901	0.5	0.0	0	1.0
900777902	crosswalk	900	902	0.521005383279987	0.0	0	1.0
319003	exit	3	9003	0.0	0.0	2147483647	1.0
911777912	crosswalk	911	912	0.5210053832799874	0.0	0	1.0
911777913	crosswalk	911	913	0.4999999999999999	0.0	0	1.0
34	point-queue	3	4	2.5	30.0	100	1.0
35	point-queue	3	5	2.5	30.0	100	1.0
906777903	crosswalk	906	903	0.6123724356957945	0.0	0	1.0
9518518	entry	9518	518	0.0	0.0	2147483647	1.0
900666500	sidewalk	900	500	0.8964466094067263	0.0	0	0.0
901777900	crosswalk	901	900	0.5	0.0	0	1.0
45	point-queue	4	5	2.5	30.0	100	1.0
913666906	sidewalk	913	906	1.0606601717798216	0.0	0	0.0
56	point-queue	5	6	2.5	30.0	100	1.0
9908908	entry	9908	908	0.0	0.0	2147483647	1.0
903666912	sidewalk	903	912	0.5606601717798212	0.0	0	0.0
908666903	sidewalk	908	903	0.7928932188134532	0.0	0	0.0
904777903	crosswalk	904	903	0.5	0.0	0	1.0
67	point-queue	6	7	2.5	30.0	100	1.0
9906906	entry	9906	906	0.0	0.0	2147483647	1.0
9907907	entry	9907	907	0.0	0.0	2147483647	1.0
902666904	sidewalk	902	904	0.5606601717798213	0.0	0	0.0
902666907	sidewalk	902	907	0.5606601717798205	0.0	0	0.0
519005	exit	5	9005	0.0	0.0	2147483647	1.0
904777905	crosswalk	904	905	0.6123724356957945	0.0	0	1.0
9517517	entry	9517	517	0.0	0.0	2147483647	1.0
516666519	sidewalk	516	519	1.0	0.0	0	0.0
909666910	sidewalk	909	910	0.7071067811865468	0.0	0	0.0
9905905	entry	9905	905	0.0	0.0	2147483647	1.0
909666911	sidewalk	909	911	1.0606601717798216	0.0	0	0.0
907777910	crosswalk	907	910	0.6123724356957948	0.0	0	1.0
907777908	crosswalk	907	908	0.5000000000000007	0.0	0	1.0
912666903	sidewalk	912	903	0.5606601717798212	0.0	0	0.0
9516516	entry	9516	516	0.0	0.0	2147483647	1.0
219002	exit	2	9002	0.0	0.0	2147483647	1.0
910777907	crosswalk	910	907	0.6123724356957948	0.0	0	1.0
912666908	sidewalk	912	908	0.5606601717798216	0.0	0	0.0
901666501	sidewalk	901	501	0.896446609406726	0.0	0	0.0
913777911	crosswalk	913	911	0.4999999999999999	0.0	0	1.0
9903903	entry	9903	903	0.0	0.0	2147483647	1.0
911666909	sidewalk	911	909	1.0606601717798216	0.0	0	0.0
906666905	sidewalk	906	905	0.7071067811865472	0.0	0	0.0
719007	exit	7	9007	0.0	0.0	2147483647	1.0
908777907	crosswalk	908	907	0.5000000000000007	0.0	0	1.0
90011	entry	9001	1	0.0	0.0	2147483647	1.0
908777909	crosswalk	908	909	0.6123724356957938	0.0	0	1.0
9904904	entry	9904	904	0.0	0.0	2147483647	1.0
913666517	sidewalk	913	517	0.896446609406726	0.0	0	0.0
905666906	sidewalk	905	906	0.7071067811865472	0.0	0	0.0
9902902	entry	9902	902	0.0	0.0	2147483647	1.0
90022	entry	9002	2	0.0	0.0	2147483647	1.0
906666913	sidewalk	906	913	1.0606601717798216	0.0	0	0.0
903777906	crosswalk	903	906	0.6123724356957945	0.0	0	1.0
9501501	entry	9501	501	0.0	0.0	2147483647	1.0
519666516	sidewalk	519	516	1.0	0.0	0	0.0
903777904	crosswalk	903	904	0.5	0.0	0	1.0
