id	type	source	dest	length (mi)	ffspd (mph)	capacity(veh/hr)	num_lanes
12	point-queue	1	2	2.5	30	4800	1
23	point-queue	2	3	2.5	30	1200	1
24	point-queue	2	4	2.5	30	3600	1
34	point-queue	3	4	2.5	30	600	1
35	point-queue	3	5	2.5	30	2520	1
45	point-queue	4	5	2.5	30	2520	1
56	point-queue	5	6	2.5	30	2400	1
67	point-queue	6	7	2.5	30	2400	1
21	point-queue	2	1	2.5	30	4800	1
32	point-queue	3	2	2.5	30	1200	1
42	point-queue	4	2	2.5	30	3600	1
43	point-queue	4	3	2.5	30	600	1
53	point-queue	5	3	2.5	30	2520	1
54	point-queue	5	4	2.5	30	2520	1
65	point-queue	6	5	2.5	30	2400	1
76	point-queue	7	6	2.5	30	2400	1
90011	1000	9001	1	1	60	30	1
119001	2000	1	9001	1	60	30	1
90022	1000	9002	2	1	60	30	1
219002	2000	2	9002	1	60	30	1
90033	1000	9003	3	1	60	30	1
319003	2000	3	9003	1	60	30	1
90044	1000	9004	4	1	60	30	1
419004	2000	4	9004	1	60	30	1
90055	1000	9005	5	1	60	30	1
519005	2000	5	9005	1	60	30	1
90066	1000	9006	6	1	60	30	1
619006	2000	6	9006	1	60	30	1
90077	1000	9007	7	1	60	30	1
719007	2000	7	9007	1	60	30	1
