src	dest	turning proportions
2314	2314	0.0
2314	12	0.0
2314	13	0.0
2314	2322	0.0
2314	901919	0.0
2314	1419014	0.37252930402118417
2314	2324	0.0
2314	21	0.0
2314	902424	0.0
2314	1816	0.0
2314	26	0.0
2314	1820	0.0
2314	31	0.0
2314	319003	0.0
2314	1312	0.0
2314	34	0.0
2314	43	0.0
2314	901414	0.0
2314	1324	0.0
2314	45	0.0
2314	2219022	0.0
2314	816	0.0
2314	1119011	0.0
2314	54	0.0
2314	1919019	0.0
2314	312	0.0
2314	56	0.0
2314	59	0.0
2314	62	0.0
2314	65	0.0
2314	902222	0.0
2314	68	0.0
2314	2120	0.0
2314	1610	0.0
2314	2122	0.0
2314	2124	0.0
2314	819008	0.0
2314	2119021	0.0
2314	78	0.0
2314	1619016	0.0
2314	1617	0.0
2314	901212	0.0
2314	1618	0.0
2314	86	0.0
2314	1110	0.0
2314	87	0.0
2314	1112	0.0
2314	901717	0.0
2314	89	0.0
2314	1114	0.0
2314	519005	0.0
2314	95	0.0
2314	98	0.0
2314	109	0.0
2314	2413	0.0
2314	1319013	0.0
2314	114	0.0
2314	2419024	0.0
2314	2421	0.0
2314	2423	0.0
2314	219002	0.0
2314	123	0.0
2314	1915	0.0
2314	1917	0.0
2314	1920	0.0
2314	1411	0.3175650301554067
2314	901515	0.0
2314	1415	0.3099056658234002
2314	902020	0.0
2314	2319023	0.0
2314	1019010	0.0
2314	910	0.0
2314	1423	0.0
2314	1819018	0.0
2314	719007	0.0
2314	90011	0.0
2314	411	0.0
2314	901010	0.0
2314	2215	0.0
2314	90022	0.0
2314	168	0.0
2314	2220	0.0
2314	2221	0.0
2314	1710	0.0
2314	2223	0.0
2314	90033	0.0
2314	1519015	0.0
2314	1716	0.0
2314	1719	0.0
2314	901818	0.0
2314	419004	0.0
2314	1211	0.0
2314	187	0.0
2314	1213	0.0
2314	90044	0.0
2314	902323	0.0
2314	90055	0.0
2314	901313	0.0
2314	718	0.0
2314	2019020	0.0
2314	90066	0.0
2314	1219012	0.0
2314	119001	0.0
2314	90077	0.0
2314	2018	0.0
2314	2019	0.0
2314	902121	0.0
2314	2021	0.0
2314	1510	0.0
2314	2022	0.0
2314	90088	0.0
2314	1514	0.0
2314	1519	0.0
2314	919009	0.0
2314	1522	0.0
2314	90099	0.0
2314	1011	0.0
2314	1719017	0.0
2314	1015	0.0
2314	619006	0.0
2314	1016	0.0
2314	1017	0.0
2314	901111	0.0
2314	901616	0.0
12	2314	0.0
12	12	0.0
12	13	0.0
12	2322	0.0
12	901919	0.0
12	1419014	0.0
12	2324	0.0
12	21	0.0
12	902424	0.0
12	1816	0.0
12	26	0.34737529970278913
12	1820	0.0
12	31	0.0
12	319003	0.0
12	1312	0.0
12	34	0.0
12	43	0.0
12	901414	0.0
12	1324	0.0
12	45	0.0
12	2219022	0.0
12	816	0.0
12	1119011	0.0
12	54	0.0
12	1919019	0.0
12	312	0.0
12	56	0.0
12	59	0.0
12	62	0.0
12	65	0.0
12	902222	0.0
12	68	0.0
12	2120	0.0
12	1610	0.0
12	2122	0.0
12	2124	0.0
12	819008	0.0
12	2119021	0.0
12	78	0.0
12	1619016	0.0
12	1617	0.0
12	901212	0.0
12	1618	0.0
12	86	0.0
12	1110	0.0
12	87	0.0
12	1112	0.0
12	901717	0.0
12	89	0.0
12	1114	0.0
12	519005	0.0
12	95	0.0
12	98	0.0
12	109	0.0
12	2413	0.0
12	1319013	0.0
12	114	0.0
12	2419024	0.0
12	2421	0.0
12	2423	0.0
12	219002	0.6526247002972073
12	123	0.0
12	1915	0.0
12	1917	0.0
12	1920	0.0
12	1411	0.0
12	901515	0.0
12	1415	0.0
12	902020	0.0
12	2319023	0.0
12	1019010	0.0
12	910	0.0
12	1423	0.0
12	1819018	0.0
12	719007	0.0
12	90011	0.0
12	411	0.0
12	901010	0.0
12	2215	0.0
12	90022	0.0
12	168	0.0
12	2220	0.0
12	2221	0.0
12	1710	0.0
12	2223	0.0
12	90033	0.0
12	1519015	0.0
12	1716	0.0
12	1719	0.0
12	901818	0.0
12	419004	0.0
12	1211	0.0
12	187	0.0
12	1213	0.0
12	90044	0.0
12	902323	0.0
12	90055	0.0
12	901313	0.0
12	718	0.0
12	2019020	0.0
12	90066	0.0
12	1219012	0.0
12	119001	0.0
12	90077	0.0
12	2018	0.0
12	2019	0.0
12	902121	0.0
12	2021	0.0
12	1510	0.0
12	2022	0.0
12	90088	0.0
12	1514	0.0
12	1519	0.0
12	919009	0.0
12	1522	0.0
12	90099	0.0
12	1011	0.0
12	1719017	0.0
12	1015	0.0
12	619006	0.0
12	1016	0.0
12	1017	0.0
12	901111	0.0
12	901616	0.0
13	2314	0.0
13	12	0.0
13	13	0.0
13	2322	0.0
13	901919	0.0
13	1419014	0.0
13	2324	0.0
13	21	0.0
13	902424	0.0
13	1816	0.0
13	26	0.0
13	1820	0.0
13	31	0.0
13	319003	0.03581895556550041
13	1312	0.0
13	34	0.5540390504081021
13	43	0.0
13	901414	0.0
13	1324	0.0
13	45	0.0
13	2219022	0.0
13	816	0.0
13	1119011	0.0
13	54	0.0
13	1919019	0.0
13	312	0.41014199402641033
13	56	0.0
13	59	0.0
13	62	0.0
13	65	0.0
13	902222	0.0
13	68	0.0
13	2120	0.0
13	1610	0.0
13	2122	0.0
13	2124	0.0
13	819008	0.0
13	2119021	0.0
13	78	0.0
13	1619016	0.0
13	1617	0.0
13	901212	0.0
13	1618	0.0
13	86	0.0
13	1110	0.0
13	87	0.0
13	1112	0.0
13	901717	0.0
13	89	0.0
13	1114	0.0
13	519005	0.0
13	95	0.0
13	98	0.0
13	109	0.0
13	2413	0.0
13	1319013	0.0
13	114	0.0
13	2419024	0.0
13	2421	0.0
13	2423	0.0
13	219002	0.0
13	123	0.0
13	1915	0.0
13	1917	0.0
13	1920	0.0
13	1411	0.0
13	901515	0.0
13	1415	0.0
13	902020	0.0
13	2319023	0.0
13	1019010	0.0
13	910	0.0
13	1423	0.0
13	1819018	0.0
13	719007	0.0
13	90011	0.0
13	411	0.0
13	901010	0.0
13	2215	0.0
13	90022	0.0
13	168	0.0
13	2220	0.0
13	2221	0.0
13	1710	0.0
13	2223	0.0
13	90033	0.0
13	1519015	0.0
13	1716	0.0
13	1719	0.0
13	901818	0.0
13	419004	0.0
13	1211	0.0
13	187	0.0
13	1213	0.0
13	90044	0.0
13	902323	0.0
13	90055	0.0
13	901313	0.0
13	718	0.0
13	2019020	0.0
13	90066	0.0
13	1219012	0.0
13	119001	0.0
13	90077	0.0
13	2018	0.0
13	2019	0.0
13	902121	0.0
13	2021	0.0
13	1510	0.0
13	2022	0.0
13	90088	0.0
13	1514	0.0
13	1519	0.0
13	919009	0.0
13	1522	0.0
13	90099	0.0
13	1011	0.0
13	1719017	0.0
13	1015	0.0
13	619006	0.0
13	1016	0.0
13	1017	0.0
13	901111	0.0
13	901616	0.0
2322	2314	0.0
2322	12	0.0
2322	13	0.0
2322	2322	0.0
2322	901919	0.0
2322	1419014	0.0
2322	2324	0.0
2322	21	0.0
2322	902424	0.0
2322	1816	0.0
2322	26	0.0
2322	1820	0.0
2322	31	0.0
2322	319003	0.0
2322	1312	0.0
2322	34	0.0
2322	43	0.0
2322	901414	0.0
2322	1324	0.0
2322	45	0.0
2322	2219022	0.33595853809267956
2322	816	0.0
2322	1119011	0.0
2322	54	0.0
2322	1919019	0.0
2322	312	0.0
2322	56	0.0
2322	59	0.0
2322	62	0.0
2322	65	0.0
2322	902222	0.0
2322	68	0.0
2322	2120	0.0
2322	1610	0.0
2322	2122	0.0
2322	2124	0.0
2322	819008	0.0
2322	2119021	0.0
2322	78	0.0
2322	1619016	0.0
2322	1617	0.0
2322	901212	0.0
2322	1618	0.0
2322	86	0.0
2322	1110	0.0
2322	87	0.0
2322	1112	0.0
2322	901717	0.0
2322	89	0.0
2322	1114	0.0
2322	519005	0.0
2322	95	0.0
2322	98	0.0
2322	109	0.0
2322	2413	0.0
2322	1319013	0.0
2322	114	0.0
2322	2419024	0.0
2322	2421	0.0
2322	2423	0.0
2322	219002	0.0
2322	123	0.0
2322	1915	0.0
2322	1917	0.0
2322	1920	0.0
2322	1411	0.0
2322	901515	0.0
2322	1415	0.0
2322	902020	0.0
2322	2319023	0.0
2322	1019010	0.0
2322	910	0.0
2322	1423	0.0
2322	1819018	0.0
2322	719007	0.0
2322	90011	0.0
2322	411	0.0
2322	901010	0.0
2322	2215	0.28474725582381943
2322	90022	0.0
2322	168	0.0
2322	2220	0.3613314432944086
2322	2221	0.017962762789091057
2322	1710	0.0
2322	2223	0.0
2322	90033	0.0
2322	1519015	0.0
2322	1716	0.0
2322	1719	0.0
2322	901818	0.0
2322	419004	0.0
2322	1211	0.0
2322	187	0.0
2322	1213	0.0
2322	90044	0.0
2322	902323	0.0
2322	90055	0.0
2322	901313	0.0
2322	718	0.0
2322	2019020	0.0
2322	90066	0.0
2322	1219012	0.0
2322	119001	0.0
2322	90077	0.0
2322	2018	0.0
2322	2019	0.0
2322	902121	0.0
2322	2021	0.0
2322	1510	0.0
2322	2022	0.0
2322	90088	0.0
2322	1514	0.0
2322	1519	0.0
2322	919009	0.0
2322	1522	0.0
2322	90099	0.0
2322	1011	0.0
2322	1719017	0.0
2322	1015	0.0
2322	619006	0.0
2322	1016	0.0
2322	1017	0.0
2322	901111	0.0
2322	901616	0.0
901919	2314	0.0
901919	12	0.0
901919	13	0.0
901919	2322	0.0
901919	901919	0.0
901919	1419014	0.0
901919	2324	0.0
901919	21	0.0
901919	902424	0.0
901919	1816	0.0
901919	26	0.0
901919	1820	0.0
